record,species,count,lat
1661,Campbell black-browed mollymawk AD,2,-37
1662,Fairy prion,1,-37
1663,Skua (unidentified) AD,1,-38
1664,Red-billed gull AD,126,-38
1665,Crested tern AD,2,-38
1666,Black-browed mollymawk AD,3,-38
1667,Campbell black-browed mollymawk AD,1,-38
1668,Red-billed gull AD,17,-38
1669,Campbell black-browed mollymawk AD,3,-39
1670,Black-browed albatross sensu lato JUV,1,-38
1671,Red-billed gull AD,29,-38
1672,Black-browed mollymawk AD,1,-38
1673,Campbell black-browed mollymawk AD,2,-38
1674,Skua (unidentified) AD,1,-38
1675,Red-billed gull AD,55,-38
1676,Black-browed mollymawk AD,6,-38
1677,Campbell black-browed mollymawk AD,2,-38
1678,Black-browed albatross sensu lato JUV,1,-38
1679,Red-billed gull AD,24,-38
1680,Crested tern AD,1,-38
1681,Wandering albatross sensu lato SUBAD,1,-37
1682,Black-browed mollymawk AD,9,-37
1683,Campbell black-browed mollymawk AD,4,-37
1684,Black-browed albatross sensu lato JUV,10,-37
1685,Shy / White-capped mollymawk JUV,1,-37
1686,Red-billed gull AD,10,-37
1687,Crested tern AD,1,-36
1688,Black-browed mollymawk AD,2,-36
1689,Campbell black-browed mollymawk AD,1,-36
1690,Black-browed albatross sensu lato JUV,6,-36
1691,Southern giant petrel JUV,1,-36
1692,Fluttering shearwater,1,-36
1693,Red-billed gull AD,16,-36
1694,Wandering albatross sensu lato JUV,1,-36
1695,Black-browed mollymawk AD,4,-35
1696,Campbell black-browed mollymawk AD,2,-35
1697,Black-browed albatross sensu lato JUV,8,-35
1698,Northern giant petrel JUV,1,-34
1699,Red-billed gull AD,14,-34
1700,Crested tern AD,1,-34
1701,Wandering albatross sensu lato AD,2,-34
1702,Black-browed mollymawk AD,1,-34
1703,Campbell black-browed mollymawk AD,1,-34
1704,Black-browed albatross sensu lato JUV,3,-34
1705,Fluttering shearwater,6,-34
1706,Red-billed gull AD,3,-34
1707,Campbell black-browed mollymawk AD,2,-34
1708,Cape petrel,1,-34
1709,Great-winged / Grey-faced petrel,1,-35
1710,Fairy prion,6,-35
1711,Fluttering shearwater,2,-35
1712,Red-billed gull AD,2,-35
1713,Black-browed mollymawk AD,3,-35
1714,Campbell black-browed mollymawk AD,4,-35
1715,Fairy prion,214,-35
1716,Wandering albatross sensu lato SUBAD,1,-36
1717,Black-browed mollymawk AD,1,-36
1718,Campbell black-browed mollymawk AD,2,-37
1719,Black-browed albatross sensu lato JUV,4,-37
1720,Fairy prion,17,-37.2
1721,Skua (unidentified),1,-37
1722,Red-billed gull AD,1,-37
1723,Wandering albatross sensu lato JUV,2,-37
1724,Campbell black-browed mollymawk AD,1,-38
1725,Black-browed albatross sensu lato JUV,5,-38
1726,Shy / White-capped mollymawk AD,1,-38
1727,Shy / White-capped mollymawk SUBAD,1,-38
1728,Southern giant petrel AD,1,-37
1729,Great-winged / Grey-faced petrel,1,-37
1730,Fairy prion,93,-34
1731,Red-billed gull AD,1,-35
1732,Black-browed albatross sensu lato SUBAD,3,-35
1733,Shy / White-capped mollymawk AD,30,-35
1734,Shy / White-capped mollymawk SUBAD,30,-35
1735,Short-tailed shearwater,80,-35
1736,Australasian gannet AD,2,-35
1737,Australasian gannet JUV,2,-35
1738,Shy / White-capped mollymawk AD,22,-36
1739,Shy / White-capped mollymawk SUBAD,12,-36
1740,Cape petrel,1,-36
1741,Short-tailed shearwater,18,-38
1742,Australasian gannet AD,1,-38
1743,Campbell black-browed mollymawk AD,1,-38
1744,Black-browed albatross sensu lato SUBAD,1,-38
1745,Shy / White-capped mollymawk AD,13,-38
1746,Shy / White-capped mollymawk SUBAD,3,-38
1747,Short-tailed shearwater,182,-38
1748,Campbell black-browed mollymawk AD,3,-38
1749,Shy / White-capped mollymawk AD,20,-39
1750,Shy / White-capped mollymawk SUBAD,10,-38
1751,Short-tailed shearwater,150,-38
1752,Australasian gannet AD,1,-38
1753,Crested tern AD,1,-38
1754,Buller's mollymawk AD,1,-38
1755,Mollymawk (unidentified),NA,-38
1756,Wandering albatross sensu lato PL3,3,-38
1757,Wandering albatross sensu lato PL4,1,-38
1758,Black-browed albatross sensu lato AD,1,-38
1759,Giant petrel sensu lato,1,-37
1760,Grey-faced petrel,3,-37
1761,Wandering albatross sensu lato PL3,4,-36
1762,Wandering albatross sensu lato PL4,2,-36
1763,Black-browed albatross sensu lato AD,1,-36
1764,Black-browed albatross sensu lato SUBAD,1,-36
1765,Shy / white-capped / Salvin's /  Chatham mollymawk,1,-35
1766,Wandering albatross sensu lato PL2,1,-35
1767,Wandering albatross sensu lato PL3,4,-35
1768,Wandering albatross sensu lato PL4,3,-35
1769,Black-browed albatross sensu lato AD,1,-35
1770,Black-browed albatross sensu lato SUBAD,1,-35
1771,Shy / white-capped / Salvin's /  Chatham mollymawk,1,-34
1772,Grey-faced petrel,1,-34
1773,Prion (unidentified),6,-34
1774,Wandering albatross sensu lato PL1,1,-34
1775,Wandering albatross sensu lato PL2,3,-34
1776,Wandering albatross sensu lato PL3,2,-34
1777,Wandering albatross sensu lato PL4,1,-37.916666666666664
1778,Prion (unidentified),4,-40
1779,Short-tailed shearwater,1,-40
1780,Wandering albatross sensu lato PL1,1,-41
1781,Wandering albatross sensu lato PL2,3,-41
1782,Wandering albatross sensu lato PL3,1,-41
1783,Wandering albatross sensu lato PL1,1,-42
1784,Wandering albatross sensu lato PL2,3,-44
1785,Black-browed albatross sensu lato SUBAD,1,-44
1786,Grey-faced petrel,1,-44
1787,Gould's petrel,3,-45
1788,Little shearwater,2,-45
1789,Arctic skua,1,-46
1790,Wandering albatross sensu lato PL2,3,-47
1791,Wandering albatross sensu lato PL3,1,-47
1792,Black-browed albatross sensu lato SUBAD,1,-48
1793,Grey-faced petrel,1,-48
1794,Gould's petrel,4,-48
1795,Little shearwater,3,-49
1796,Pomarine skua,2,-50
1797,Shy / white-capped / Salvin's /  Chatham mollymawk,1,-50
1798,Grey-faced petrel,50,-51
1799,Arctic skua,1,-51
1800,Wandering albatross sensu lato PL1,1,-51
1801,Wandering albatross sensu lato PL2,4,-51
1802,Wandering albatross sensu lato PL3,3,-53
1803,Wandering albatross sensu lato PL4,1,-53
1804,Grey-faced petrel,2,-54
1805,Wandering albatross sensu lato PL1,2,-54
1806,Wandering albatross sensu lato PL2,5,-55
1807,Wandering albatross sensu lato PL3,3,-55
1808,Wandering albatross sensu lato PL4,1,-57
1809,Grey-faced petrel,2,-57
1810,Grey-faced petrel,20,-57
1811,Wandering albatross sensu lato PL1,2,-58
1812,Wandering albatross sensu lato PL2,4,-57
1813,Wandering albatross sensu lato PL3,3,-57
1814,Wandering albatross sensu lato PL4,2,-60
1815,Grey-faced petrel,2,-60
1816,Australasian gannet AD,1,-60
1817,Wandering albatross sensu lato PL1,2,-60
1818,Wandering albatross sensu lato PL2,3,-61
1819,Wandering albatross sensu lato PL3,2,-61
1820,Wandering albatross sensu lato PL4,1,-62
1821,Grey-faced petrel,4,-62
1822,Gould's petrel,1,-62
1823,Wandering albatross sensu lato PL1,1,-62
1824,Wandering albatross sensu lato PL2,3,-63
1825,Wandering albatross sensu lato PL3,1,-63
1826,Southern royal albatross,1,-64
1827,Grey-faced petrel,3,-64
1828,Gould's petrel,10,-65
1829,Wandering albatross sensu lato PL2,2,-65
1830,Wandering albatross sensu lato PL3,1,-65
1831,Wandering albatross sensu lato PL4,1,-65
1832,Southern royal albatross,1,-65
1833,Grey-faced petrel,6,-66
1834,Arctic skua,2,-66
1835,Wandering albatross sensu lato PL2,2,-66
1836,Wandering albatross sensu lato PL3,2,-66
1837,Wandering albatross sensu lato PL4,1,-66
1838,Southern royal albatross,1,-66
1839,Grey-faced petrel,3,-66
1840,Wandering albatross sensu lato PL1,2,-66
1841,Wandering albatross sensu lato PL2,2,-66
1842,Wandering albatross sensu lato PL3,2,-66
1843,Grey-faced petrel,2,-66
1844,Wandering albatross sensu lato PL1,2,-66
1845,Wandering albatross sensu lato PL2,1,-66
1846,Grey-faced petrel,2,-66
1847,Wandering albatross sensu lato PL1,1,-66
1848,Wandering albatross sensu lato PL2,1,-66
1849,Wandering albatross sensu lato PL3,1,-67
1850,Grey-faced petrel,5,-67
1851,Gould's petrel,1,-67
1852,Flesh-footed shearwater,2,-65.23333333333333
1853,Buller's shearwater,100,-65.23333333333333
1854,White-faced storm petrel,4,-65.23333333333333
1855,Australasian gannet AD,6,-65.23333333333333
1856,Southern black-backed gull AD,2,-65.23333333333333
1857,Wandering albatross sensu lato PL3,1,-65
1858,Prion (unidentified),2,-65
1859,Flesh-footed shearwater,3,-65
1860,Buller's shearwater,200,-65
1861,Australasian gannet AD,3,-65
1862,Southern black-backed gull AD,4,-65
1863,Wandering albatross sensu lato PL3,1,-65
1864,Prion (unidentified),2,-65
1865,Flesh-footed shearwater,2,-65
1866,Buller's shearwater,25,-65
1867,Sooty shearwater,1,-65
1868,Australasian gannet AD,1,-65
1869,Southern black-backed gull AD,1,-65.25
1870,Wandering albatross sensu lato PL3,1,-65
1871,Prion (unidentified),500,-65
1872,Flesh-footed shearwater,6,-65
1873,Buller's shearwater,50,-65
1874,White-faced storm petrel,100,-65
1875,Southern black-backed gull AD,5,-64
1876,Prion (unidentified),50,-64
1877,Flesh-footed shearwater,2,-63
1878,Buller's shearwater,30,-63
1879,Sooty shearwater,1,-63
1880,White-faced storm petrel,20,-62
1881,Australasian gannet AD,1,-62
1882,Southern black-backed gull AD,7,-62
1883,Flesh-footed shearwater,200,-62
1884,Buller's shearwater,30,-62
1885,White-faced storm petrel,12,-60
1886,Australasian gannet AD,200,-60
1887,Southern black-backed gull AD,8,-60
1888,Little penguin,2,-59
1889,Wandering albatross sensu lato PL3,1,-59
1890,Prion (unidentified),50,-59
1891,Flesh-footed shearwater,200,-57
1892,Buller's shearwater,2000,-57
1893,Sooty shearwater,2,-57
1894,White-faced storm petrel,4,-56
1895,Diving-petrel (unidentified),1,-56
1896,Australasian gannet AD,2,-56
1897,Southern black-backed gull AD,4,-54
1898,Wandering albatross sensu lato PL2,1,-54
1899,Buller's shearwater,50,-54
1900,Fluttering shearwater,40,-53
1901,Diving-petrel (unidentified),3,-53
1902,Southern black-backed gull AD,2,-51
1903,Flesh-footed shearwater,7,-51
1904,Buller's shearwater,2,-51
1905,Australasian gannet AD,3,-50
1906,Southern black-backed gull AD,1,-49
1907,Fluttering shearwater,8,-48
1908,Little shearwater,200,-48
1909,White-faced storm petrel,1,-48
1910,Southern black-backed gull AD,15,-47
1911,Southern black-backed gull SUBAD,15,-45
1912,White-fronted tern AD,50,-45
1913,Little shearwater,100,-45
1914,Australasian gannet AD,2,-45
1915,Southern black-backed gull AD,10,-45
1916,Southern black-backed gull SUBAD,10,-43
1917,White-fronted tern AD,1,-43
1918,Giant petrel sensu lato,1,-42
1919,Southern black-backed gull AD,70,-42
1920,Southern black-backed gull SUBAD,50,-40
1921,Red-billed gull AD,30,-40
1922,Shy / White-capped mollymawk AD,1,-39
1923,Short-tailed shearwater,3,-35
1924,Australasian gannet AD,1,-35
1925,Red-billed gull AD,3,-35
1926,Crested tern AD,1,-35
1927,Giant petrel sensu lato JUV,1,-36
1928,Australasian gannet AD,1,-36
1929,Red-billed gull AD,1,-38
1930,Short-tailed shearwater,38,-38
1931,Australasian gannet AD,5,-38
1932,Australasian gannet JUV,1,-38
1933,Crested tern AD,5,-38
1934,Short-tailed shearwater,100,-41
1935,[NO BIRDS RECORDED],NA,-43
1936,Black-browed albatross sensu lato JUV,1,-44
1937,Shy / White-capped mollymawk AD,2,-45
1938,Shy / White-capped mollymawk SUBAD,1,-34
1939,Shy / White-capped mollymawk AD,3,-34
1940,Short-tailed shearwater,1,-34
1941,Arctic skua AD,1,-34
1942,Red-billed gull AD,3,-34
1943,Crested tern AD,2,-34
1944,Crested tern SUBAD,2,-34
1945,Shy / White-capped mollymawk SUBAD,1,-34
1946,Pomarine skua JUV,1,-34
1947,White-fronted tern AD,2,-34
1948,White-fronted tern JUV,2,-34
1949,Crested tern AD,3,-34
1950,Crested tern SUBAD,2,-34
1951,Common tern AD,1,-34.2
1952,Shy / White-capped mollymawk AD,2,-34
1953,Australasian gannet AD,1,-34
1954,Short-tailed shearwater,200,-34
1955,Black-browed albatross sensu lato JUV,1,-34.36666666666667
1956,Short-tailed shearwater,NA,-34
1957,Black-browed albatross sensu lato JUV,1,-34
1958,Shy / White-capped mollymawk SUBAD,1,-34
1959,Short-tailed shearwater,2000,-34.13333333333333
1960,Shy / White-capped mollymawk AD,3,-34.166666666666664
1961,Southern giant petrel SUBAD,1,-34
1962,Giant petrel sensu lato,1,-34
1963,Short-tailed shearwater,20000,-34
1964,Shearwater (unidentified),1,-34.13333333333333
1965,Red-billed gull AD,1,-34
1966,Short-tailed shearwater,99999,-34
1967,Cape petrel,1,-34
1968,Short-tailed shearwater,2000,-33
1969,Northern giant petrel AD,5,-33
1970,Cape petrel,1,-33
1971,White-headed petrel,3,-33
1972,Antarctic type prion,3,-33
1973,White-bellied storm petrel,3,-34
1974,[NO BIRDS RECORDED],NA,-34
1975,Wandering albatross sensu lato,1,-34
1976,Sooty shearwater,1,-34
1977,Wandering albatross sensu lato AD,2,-34
1978,Mottled petrel,1,-34
1979,Petrel (unidentified),2,-34
1980,Black-browed albatross sensu lato AD,1,-34
1981,Shy / White-capped mollymawk AD,1,-34.3
1982,Mottled petrel,1,-34
1983,Wandering albatross sensu lato AD,3,-34
1984,Northern giant petrel,1,-33
1985,Sooty shearwater,1,-33
1986,White-bellied storm petrel,1,-33
1987,Wandering albatross sensu lato,3,-33
1988,Shy / White-capped mollymawk,1,-33
1989,Grey-headed mollymawk,1,-33
1990,Prion (unidentified),2,-33
1991,White-chinned petrel,1,-33
1992,Wandering albatross sensu lato AD,4,-35
1993,White-headed petrel,1,-35.25
1994,White-bellied storm petrel,1,-34
1995,Wandering albatross sensu lato,3,-34
1996,White-bellied storm petrel,2,-34
1997,Wandering albatross sensu lato,1,-34
1998,Shy / White-capped mollymawk,1,-34.666666666666664
1999,Light-mantled sooty albatross,1,-34
2000,White-headed petrel,1,-34
2001,Petrel (unidentified),2,-34
2002,White-bellied storm petrel,5,-34.35
2003,Wandering albatross sensu lato AD,3,-35
2004,Great-winged / Grey-faced petrel,1,-35
2005,White-headed petrel,1,-35
2006,Antarctic type prion,2,-35
2007,Sooty shearwater,1,-35
2008,White-bellied storm petrel,2,-35
2009,Wandering albatross sensu lato SUBAD,4,-35
2010,Shy / White-capped mollymawk,1,-35
2011,Great-winged / Grey-faced petrel,1,-35
2012,White-bellied storm petrel,3,-36
2013,Wandering albatross sensu lato,2,-36
2014,Great-winged / Grey-faced petrel,1,-36
2015,White-bellied storm petrel,5,-36
2016,Wandering albatross sensu lato,4,-37
2017,All dark petrel (unidentified),1,-37
2018,White-bellied storm petrel,11,-37
2019,Wandering albatross sensu lato,2,-37
2020,Shy / White-capped mollymawk,1,-37
2021,Gadfly petrel (unidentified),1,-37
2022,White-bellied storm petrel,3,-38
2023,Jaeger (unidentified),1,-38
2024,Wandering albatross sensu lato,3,-38
2025,All dark petrel (unidentified),1,-38
2026,White-bellied storm petrel,4,-38
2027,Wandering albatross sensu lato,4,-38
2028,Mollymawk (unidentified),1,-39
2029,Antarctic type prion,1,-38
2030,White-bellied storm petrel,6,-38
2031,Wandering albatross sensu lato,3,-38
2032,Mottled petrel,2,-38
2033,White-bellied storm petrel,1,-38
2034,Wandering albatross sensu lato,2,-38
2035,Gadfly petrel (unidentified),1,-37
2036,Short-tailed shearwater,1,-38
2037,All dark petrel (unidentified),1,-38
2038,White-bellied storm petrel,1,-37
2039,Wandering albatross sensu lato,1,-37
2040,Northern giant petrel,1,-37
2041,Prion (unidentified),2,-37
2042,Wandering albatross sensu lato SUBAD,4,-37
2043,Campbell black-browed mollymawk AD,1,-37
2044,Short-tailed / Sooty shearwater,1,-37
2045,Wandering albatross sensu lato,3,-37
2046,Campbell black-browed mollymawk AD,1,-34
2047,Shy / White-capped mollymawk,1,-34
2048,All dark petrel (unidentified),1,-35
2049,Wandering albatross sensu lato,3,-35
2050,Black-browed albatross sensu lato,1,-35
2051,Black petrel,1,-38
2052,Sooty shearwater,3,-38
2053,Wandering albatross sensu lato,1,-38
2054,Mottled petrel,1,-38
2055,Short-tailed shearwater,33,-38
2056,White-bellied storm petrel,1,-38
2057,Wandering albatross sensu lato,2,-38
2058,Black-browed albatross sensu lato,1,-38
2059,Gadfly petrel (unidentified),1,-38
2060,Short-tailed shearwater,98,-38
2061,Wandering albatross sensu lato,3,-39
2062,Short-tailed shearwater,8,-38
2063,Wandering albatross sensu lato,2,-38
2064,Shy / White-capped mollymawk,1,-38
2065,Short-tailed shearwater,13,-38
2066,Wandering albatross sensu lato,3,-38
2067,Short-tailed shearwater,11,-38
2068,Wandering albatross sensu lato,1,-38
2069,Prion (unidentified),1,-38
2070,White-chinned petrel,2,-37
2071,Short-tailed shearwater,22,-37
2072,Wandering albatross sensu lato,1,-36
2073,Shy / White-capped mollymawk,1,-36
2074,Gadfly petrel (unidentified),1,-36
2075,Westland / White-chinned petrel,1,-36
2076,Short-tailed shearwater,18,-35
2077,Wandering albatross sensu lato,5,-35
2078,Westland / White-chinned petrel,1,-35
2079,Short-tailed shearwater,22,-35
2080,Wandering albatross sensu lato,6,-34.083333333333336
2081,Shy / White-capped mollymawk,1,-34.03333333333333
2082,Short-tailed shearwater,19,-34.15
2083,Wandering albatross sensu lato,9,-34.11666666666667
2084,Shy / White-capped mollymawk,1,-33.35
2085,Northern giant petrel,1,-33.266666666666666
2086,Short-tailed shearwater,NA,-34
2087,Northern giant petrel,2,-34.666666666666664
2088,Short-tailed shearwater,17,-34.5
2089,Pacific gull,1,-34.45
2090,Red-billed gull,29,-37
2091,Wandering albatross sensu lato,1,-37
2092,Short-tailed shearwater,16,-37
2093,Short-tailed shearwater,NA,-37
2094,Pacific gull AD,1,-37
2095,Pacific gull SUBAD,1,-37
2096,Red-billed gull,18,-43.666666666666664
2097,Snow petrel,3,-43.666666666666664
2098,Antarctic fulmar,5,-43.666666666666664
2099,Cape petrel,3,-43.666666666666664
2100,Wilson's storm petrel,2,-43.666666666666664
2101,Antarctic petrel,62,-43.666666666666664
2102,Wilson's storm petrel,10,-43
2103,Antarctic petrel,159,-43
2104,Antarctic petrel,6,-43
2105,Antarctic petrel,37,-43.5
2106,Light-mantled sooty albatross,NA,-43.5
2107,Prion (unidentified),NA,-43.5
2108,Antarctic petrel,NA,-43.5
2109,Light-mantled sooty albatross,1,-43.5
2110,Giant petrel sensu lato AD,1,-43.5
2111,Prion (unidentified),1,-43.5
2112,White-chinned petrel,1,-43.5
2113,Antarctic petrel,13,-43.5
2114,Prion (unidentified),1,-43.5
2115,Wilson's storm petrel,2,-43.5
2116,Antarctic petrel,2,-43.5
2117,Cape petrel,2,-38
2118,Prion (unidentified),1,-38.833333333333336
2119,White-chinned petrel,1,-38
2120,Antarctic petrel,10,-38
2121,Prion (unidentified),2,-38
2122,Antarctic petrel,13,-38
2123,Cape petrel,NA,-34
2124,Wilson's storm petrel,NA,-34
2125,Antarctic petrel,4,-34
2126,Prion (unidentified),2,-34
2127,White-chinned petrel,2,-34
2128,Antarctic petrel,44,-34
2129,Giant petrel sensu lato,1,-34
2130,Antarctic petrel,2,-34
2131,Wilson's storm petrel,14,-34
2132,Snow petrel,13,-34
2133,Light-mantled sooty albatross,NA,-34
2134,Antarctic fulmar,2,-34
2135,Cape petrel,8,-34
2136,White-chinned petrel,3,-33
2137,Wilson's storm petrel,56,-33
2138,Antarctic petrel,16,-33
2139,Antarctic fulmar,1,-33
2140,Cape petrel,1,-33
2141,Prion (unidentified),1,-33
2142,White-chinned petrel,1,-33
2143,Wilson's storm petrel,2,-33
2144,Antarctic petrel,77,-33
2145,Prion (unidentified),47,-33
2146,White-chinned petrel,12,-33
2147,Wilson's storm petrel,1,-34
2148,Antarctic petrel,13,-34
2149,Prion (unidentified),4,-34
2150,Antarctic petrel,8,-35
2151,Light-mantled sooty albatross,2,-35
2152,Antarctic fulmar,3,-35
2153,Cape petrel,5,-35
2154,Blue petrel,3,-37
2155,Prion (unidentified),5,-37
2156,Wilson's storm petrel,2,-37
2157,Antarctic petrel,73,-37
2158,Light-mantled sooty albatross,2,-37.6
2159,Prion (unidentified),1,-37
2160,Antarctic petrel,5,-37
2161,Prion (unidentified),6,-37
2162,White-chinned petrel,1,-37
2163,Antarctic fulmar,2,-39
2164,Wilson's storm petrel,1,-39
2165,Antarctic petrel,5,-39
2166,Snow petrel,2,-40
2167,Snow petrel,2,-40
2168,Wilson's storm petrel,2,-40
2169,[NO BIRDS RECORDED],NA,-40
2170,Wilson's storm petrel,1,-40
2171,Antarctic fulmar,1,-37
2172,Wilson's storm petrel,1,-34
2173,Light-mantled sooty albatross,1,-34
2174,Prion (unidentified),220,-34
2175,White-chinned petrel,5,-34
2176,Wilson's storm petrel,NA,-34
2177,Antarctic petrel,5,-34
2178,Prion (unidentified),21,-34
2179,White-chinned petrel,1,-34
2180,Prion (unidentified),9,-34
2181,Short-tailed / Sooty shearwater,210,-34
2182,Antarctic petrel,1,-34
2183,White-headed petrel,1,-34
2184,Prion (unidentified),8,-34
2185,Short-tailed / Sooty shearwater,7,-34
2186,Prion (unidentified),8,-34
2187,Short-tailed shearwater,2,-34
2188,Wilson's storm petrel,1,-34
2189,Wandering albatross sensu lato AD,1,-34
2190,Wandering albatross sensu lato JUV,1,-34
2191,Wandering albatross sensu lato SUBAD,1,-34
2192,Cape petrel,NA,-33
2193,Prion (unidentified),6,-33
2194,White-chinned petrel,NA,-33
2195,Wilson's storm petrel,5,-33
2196,Prion (unidentified),9,-33
2197,White-chinned petrel,2,-33
2198,Short-tailed / Sooty shearwater,20,-33
2199,White-headed petrel,1,-34
2200,Prion (unidentified),2,-34
2201,White-chinned petrel,1,-34
2202,Short-tailed / Sooty shearwater,11,-34
2203,Wilson's storm petrel,2,-34
2204,White-chinned petrel,3,-34
2205,Shearwater (unidentified),5,-36
2206,Wilson's storm petrel,2,-36
2207,Shearwater (unidentified),8,-36
2208,Shearwater (unidentified),4,-37
2209,Prion (unidentified),2,-37
2210,Grey petrel,2,-37
2211,White-chinned petrel,1,-37
2212,White-headed petrel,1,-39
2213,Prion (unidentified),10,-39
2214,Grey petrel,2,-39
2215,White-chinned petrel,10,-40.666666666666664
2216,Shearwater (unidentified),34,-40.78333333333333
2217,Wilson's storm petrel,1,-40.93333333333333
2218,Prion (unidentified),2,-41.2
2219,White-chinned petrel,5,-41.35
2220,Shearwater (unidentified),38,-41.43333333333333
2221,Black / White-bellied storm-petrel,1,-41.61666666666667
2222,Wandering albatross sensu lato,1,-41.81666666666667
2223,Prion (unidentified),9,-41.983333333333334
2224,White-chinned petrel,4,-44.15
2225,Shearwater (unidentified),8,-44.31666666666667
2226,Wilson's storm petrel,2,-44.5
2227,Prion (unidentified),1,-44.55
2228,Grey petrel,1,-44.733333333333334
2229,White-chinned petrel,1,-44
2230,Shearwater (unidentified),40,-45.05
2231,Grey petrel,1,-45.18333333333333
2232,Shearwater (unidentified),1,-45.333333333333336
2233,White-headed petrel,1,-45.5
2234,Grey petrel,1,-45.68333333333333
2235,[NO BIRDS RECORDED],NA,-45.833333333333336
2236,White-headed petrel,2,-48
2237,Shearwater (unidentified),1,-48.18333333333333
2238,Wandering albatross sensu lato AD,1,-48.333333333333336
2239,Wandering albatross sensu lato AD,1,-48.516666666666666
2240,White-headed petrel,1,-48.8
2241,Grey petrel,1,-48.86666666666667
2242,Shearwater (unidentified),1,-49.1
2243,Buller's mollymawk AD,1,-49.21666666666667
2244,Grey petrel,4,-49.4
2245,White-chinned petrel,1,-49.583333333333336
2246,Shearwater (unidentified),1,-49.766666666666666
2247,Grey petrel,1,-49.95
2248,Light-mantled sooty albatross,1,-52.25
2249,Wandering albatross sensu lato AD,3,-52.45
2250,Black-browed albatross sensu lato AD,3,-54.11666666666667
2251,Wandering albatross sensu lato AD,6,-53.93333333333333
2252,Black-browed albatross sensu lato AD,1,-53.8
2253,Black-browed albatross sensu lato SUBAD,1,-53.56666666666667
2254,Sooty albatross,2,-53
2255,Light-mantled sooty albatross,1,-53.2
2256,White-headed petrel,1,-53.03333333333333
2257,Prion (unidentified),2,-52.733333333333334
2258,Wilson's storm petrel,1,-52.56666666666667
2259,White-faced storm petrel,3,-32
2260,White-bellied storm petrel,3,-32
2261,Wandering albatross sensu lato AD,3,-33
2262,Black-browed albatross sensu lato AD,1,-33
2263,Light-mantled sooty albatross,1,-33
2264,Wilson's storm petrel,1,-33
2265,Prion (unidentified),1,-33
2266,Shearwater (unidentified),13,-33
2267,Black-browed albatross sensu lato,1,-33
2268,Grey petrel,1,-33
2269,Wandering albatross sensu lato AD,3,-34
2270,Black-browed albatross sensu lato AD,2,-34
2271,Prion (unidentified),3,-34
2272,Shy / White-capped mollymawk,1,-34
2273,Northern giant petrel,1,-34
2274,Shearwater (unidentified),11,-38
2275,White-faced storm petrel,1,-38
2276,[NO BIRDS RECORDED],NA,-38
2277,Black-browed albatross sensu lato,2,-38
2278,White-headed petrel,1,-38
2279,Mottled petrel,1,-38
2280,Prion (unidentified),1,-43
2281,White-headed petrel,3,-43
2282,Mottled petrel,1,-43
2283,Sooty shearwater,5,-43
2284,Mottled petrel,1,-43
2285,Prion (unidentified),1,-43
2286,Grey-backed storm petrel,1,-43
2287,Grey-headed mollymawk JUV,1,-43
2288,Sooty shearwater,3,-43
2289,Grey-backed storm petrel,4,-43
2290,Grey-headed mollymawk,NA,-43
2291,Light-mantled sooty albatross,NA,-43
2292,White-headed petrel,2,-43
2293,Mottled petrel,NA,-43
2294,Prion (unidentified),1,-43
2295,Sooty shearwater,10,-43
2296,Grey-backed storm petrel,1,-43
2297,Black shag AD,1,-43
2298,Wandering albatross sensu lato,2,-43
2299,Northern giant petrel,1,-43
2300,Sooty shearwater,3,-43
2301,All dark petrel (unidentified),1,-43
2302,Black-bellied storm petrel,8,-43
2303,Black shag,4,-43
2304,Black-browed albatross sensu lato AD,1,-34
2305,Prion (unidentified),2,-34
2306,Black shag,3,-34
2307,Wandering albatross sensu lato AD,1,-34
2308,Black-browed albatross sensu lato AD,2,-34
2309,Black-browed albatross sensu lato JUV,1,-34
2310,Shearwater (unidentified),2,-34
2311,Wandering albatross sensu lato AD,3,-34
2312,Black-browed albatross sensu lato AD,1,-33
2313,Black-browed albatross sensu lato JUV,1,-33
2314,Black-bellied storm petrel,1,-33
2315,Storm-petrel (unidentified),6,-33
2316,Mottled petrel,NA,-33
2317,Prion (unidentified),1,-33
2318,Fluttering shearwater,NA,-33
2319,All dark petrel (unidentified),2,-33
2320,Australasian gannet,NA,-33
2321,Black-browed albatross sensu lato,1,-33
2322,All dark petrel (unidentified),10,-33
2323,Wandering albatross sensu lato AD,1,-35
2324,Wandering albatross sensu lato JUV,2,-35
2325,Black-browed albatross sensu lato,1,-36
2326,Northern giant petrel,1,-36
2327,Sooty shearwater,7,-36
2328,All dark petrel (unidentified),1,-36
2329,Storm-petrel (unidentified),1,-37
2330,Wandering albatross sensu lato,17,-37
2331,Black-browed albatross sensu lato,7,-37
2332,Gadfly petrel (unidentified),1,-38
2333,Prion (unidentified),1,-38
2334,White-chinned petrel,2,-38
2335,Sooty shearwater,5,-38
2336,Wandering albatross sensu lato AD,1,-38
2337,Wandering albatross sensu lato JUV,1,-38
2338,Giant petrel sensu lato,1,-38
2339,Diving-petrel (unidentified),1,-37
2340,Australasian gannet,NA,-37
2341,Black shag,NA,-36
2342,Wandering albatross sensu lato,4,-36
2343,Black shag,2,-36
2344,Wandering albatross sensu lato,1,-36
2345,Black shag,1,-36
2346,Wandering albatross sensu lato,1,-34
2347,Wandering albatross sensu lato SUBAD,1,-37
