record,species,count,lat
158,Wandering albatross sensu lato SUBAD,3,-33.31666666666667
159,Black-browed albatross sensu lato AD,5,-33
160,Black-browed albatross sensu lato SUBAD,1,-33
161,Buller's mollymawk,3,-33.916666666666664
162,Shy / white-capped / Salvin's /  Chatham mollymawk,2,-33.56666666666667
163,Giant petrel sensu lato,4,-33
164,Cape petrel,25,-34.55
165,Prion (unidentified),20,-34.93333333333333
166,Wandering albatross sensu lato SUBAD,2,-35
167,Shy / white-capped / Salvin's /  Chatham mollymawk,1,-35.36666666666667
168,Giant petrel sensu lato,3,-35
169,Cape petrel,2,-35
170,Grey-faced petrel,8,-40
171,Buller's shearwater,2,-45
172,Southern black-backed gull AD,2,-45
173,Giant petrel sensu lato,1,-45
174,Buller's shearwater,9,-48
175,Sooty shearwater,1,-49
176,Storm-petrel (unidentified),8,-49
177,Giant petrel sensu lato,1,NA
178,Flesh-footed shearwater,4,NA
179,Buller's shearwater,202,-52.516666666666666
180,Australasian gannet,1,-52.083333333333336
181,Wandering albatross sensu lato SUBAD,NA,-51.36666666666667
182,Black-browed albatross sensu lato AD,1,-49.416666666666664
183,Black-browed albatross sensu lato SUBAD,2,-48.666666666666664
184,Giant petrel sensu lato,3,-47.8
185,Flesh-footed shearwater,9,-45.833333333333336
186,Buller's shearwater,73,-45.06666666666667
187,Australasian gannet,4,-44.25
188,Southern black-backed gull AD,8,-41.65
189,Wandering albatross sensu lato PL1,2,-40.766666666666666
190,Wandering albatross sensu lato PL2,1,-42
191,Wandering albatross sensu lato PL3,2,-43
192,Giant petrel sensu lato,2,-46
193,Cape petrel,2,-47
194,All dark shearwater (unidentified),1,-47
195,Wandering albatross sensu lato PL1,5,-49
196,Wandering albatross sensu lato PL2,3,-50
197,Wandering albatross sensu lato PL3,2,-51
198,Wandering albatross sensu lato,2,-54
199,Giant petrel sensu lato,2,-55
200,Cape petrel,2,-56
201,Wandering albatross sensu lato SUBAD,8,-58
202,Giant petrel sensu lato,1,-59
203,Cape petrel,8,-59
204,Buller's shearwater,1,-60
205,Wandering albatross sensu lato PL1,2,-60
206,Wandering albatross sensu lato PL2,4,-60
207,Wandering albatross sensu lato PL3,3,-61
208,Wandering albatross sensu lato,3,-61
209,Giant petrel sensu lato,2,-61
210,Cape petrel,2,-61.25
211,Shearwater (unidentified),4,-61
212,Wandering albatross sensu lato PL1,1,-61
213,Wandering albatross sensu lato PL2,2,-61.016666666666666
214,Wandering albatross sensu lato PL3,4,-61
215,Wandering albatross sensu lato PL4,3,-61
216,Wandering albatross sensu lato PL5,2,-60.5
217,Giant petrel sensu lato,2,-60
218,Cape petrel,7,-59
219,White-headed petrel,NA,-61
220,Wandering albatross sensu lato PL1,3,-62
221,Wandering albatross sensu lato PL2,1,-62
222,Wandering albatross sensu lato PL3,2,-64
223,Cape petrel,2,-65
224,Sooty shearwater,1,-64
225,Shearwater (unidentified),1,-64.2
226,Red-tailed tropicbird,NA,-65
227,Wandering albatross sensu lato PL1,3,NA
228,Wandering albatross sensu lato PL2,1,-63.43333333333333
229,Wandering albatross sensu lato PL3,1,-63
230,Cape petrel,3,-63.68333333333333
231,Shearwater (unidentified),7,-64
232,Wandering albatross sensu lato PL1,2,-64
233,Wandering albatross sensu lato PL2,1,-66.43333333333334
234,Wandering albatross sensu lato PL3,3,-40
235,Black-browed albatross sensu lato AD,1,-40
236,Black-browed albatross sensu lato SUBAD,1,-40
237,Cape petrel,3,-40
238,Grey-faced petrel,2,-41
239,Wandering albatross sensu lato PL1,1,-41
240,Wandering albatross sensu lato PL2,3,-41
241,Shearwater (unidentified),2,-41
242,Australasian gannet SUBAD,NA,-41
243,Wandering albatross sensu lato PL1,1,-41
244,Wandering albatross sensu lato PL2,2,-41
245,Wandering albatross sensu lato PL3,3,-43
246,Cape petrel,2,-44
247,Grey-faced petrel,1,-44
248,Wandering albatross sensu lato PL2,4,-45
249,Wandering albatross sensu lato PL3,3,-45
250,Wandering albatross sensu lato SUBAD,3,-45
251,Black-browed albatross sensu lato AD,3,-45
252,Black-browed albatross sensu lato SUBAD,1,-45
253,Cape petrel,2,-45
